,title,rating,price,cpu_socket,form_factor,max_memory,memory_slots,color,max_memory_gb
2274,Gigabyte B660M AORUS Pro DDR4,4.0,,LGA1700,Micro ATX,128 GB,4,Black,128.0
2275,Biostar H610MH,,,LGA1700,Micro ATX,64 GB,2,Gray / Black,64.0
2276,Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0),3.5,,LGA1700,Mini ITX,64 GB,2,,64.0
2277,MSI PRO-A320M-B,,,AM4,Micro ATX,64 GB,2,Brown / Black,64.0
2278,MSI MAG B760M MORTAR MAX WIFI,,,LGA1700,Micro ATX,192 GB,4,Silver / Black,192.0
2279,Asus PRIME H610M-D,,,LGA1700,Micro ATX,96 GB,2,Black,96.0
2280,Asus PRIME A520M-R-CSM,,,AM4,Micro ATX,64 GB,2,Silver / Black,64.0
2281,Asus PRIME B650M-F,,,AM5,Micro ATX,96 GB,2,Black / Silver,96.0
2282,Gigabyte Z790 S DDR4 (rev. 1.0),,,LGA1700,ATX,128 GB,4,Black,128.0
2283,MSI PRO B660M-P WIFI DDR4,2.0,,LGA1700,Micro ATX,128 GB,4,Black,128.0
2284,MSI X99A SLI KRAIT EDITION,4.5,,LGA2011-3,ATX,128 GB,8,Black / White,128.0
2285,Asus SABERTOOTH Z170 MARK 1,4.5,,LGA1151,ATX,64 GB,4,Black,64.0
2286,ASRock Z390 Phantom Gaming SLI/ac,4.5,345.00,LGA1151,ATX,128 GB,4,Black / Silver,128.0
2287,Intel DG33TLM,,,LGA775,Micro ATX,8 GB,4,Black / Blue,8.0
2288,Gigabyte GA-Z77-DS3H,4.0,,LGA1155,ATX,32 GB,4,Blue / White,32.0
2289,Gigabyte GA-Z87X-UD4H,4.5,,LGA1150,ATX,32 GB,4,Black / Red,32.0
2290,ASRock 970 Extreme3 R2.0,4.0,,AM3+,ATX,64 GB,4,Brown / Black,64.0
2291,Gigabyte GA-970A-D3P,4.5,,AM3+/AM3,ATX,32 GB,4,Black / Gray,32.0
2292,Gigabyte GA-F2A88XN-WIFI,4.0,,FM2+,Mini ITX,64 GB,2,,64.0
2293,MSI B85-G43 GAMING,4.0,,LGA1150,ATX,32 GB,4,Black / Red,32.0
2294,ASRock Z97E-ITX/ac,4.5,,LGA1150,Mini ITX,16 GB,2,Black / Blue,16.0
2295,Gigabyte GA-H97-D3H,4.5,,LGA1150,ATX,32 GB,4,Black / Gold,32.0
2296,ASRock H97M-ITX/AC,4.0,,LGA1150,Mini ITX,16 GB,2,Black / Blue,16.0
