title,rating,price,speed,modules,price_per_gb,color,first_word_latency,cas_latency,module_count,gb_per_module,total_ram
Kingston XMP 10th Anniversary 16 GB,,,DDR3-1600,4 x 4GB,,Gray / Silver,11.25 ns,9.0,4,4,16
Kingston XMP 10th Anniversary 16 GB,5.0,,DDR3-1600,2 x 8GB,,Gray / Silver,11.25 ns,9.0,2,8,16
Kingston HyperX 10th Anniversary 4 GB,,,DDR3-1600,1 x 4GB,,Gray / Silver,11.25 ns,9.0,1,4,4
GeIL EVO VELOCE 16 GB,,,DDR3-1866,2 x 8GB,,Red / Silver,10.718 ns,10.0,2,8,16
Mushkin Redline 32 GB,,,DDR3-1866,4 x 8GB,,Red,9.646 ns,9.0,4,8,32
G.Skill Trident X 16 GB,5.0,,DDR3-1866,2 x 8GB,,Black / Red,8.574 ns,8.0,2,8,16
Corsair Dominator Platinum 16 GB,,,DDR3-2800,4 x 4GB,,Black / Silver,8.571 ns,12.0,4,4,16
Crucial Ballistix Tactical Tracer 16 GB,4.5,,DDR3-1600,2 x 8GB,,,10 ns,8.0,2,8,16
GeIL EVO VELOCE 32 GB,,,DDR3-2133,4 x 8GB,,Red / Silver,10.314 ns,11.0,4,8,32
Kingston XMP 10th Anniversary 16 GB,5.0,,DDR3-1600,4 x 4GB,,Gray / Silver,11.25 ns,9.0,4,4,16
GeIL GS34GB1333C9SC 4 GB,,,DDR3-1333,1 x 4GB,,Green,13.503 ns,9.0,1,4,4
Crucial CT2KIT51264BC160BDUP 8 GB,,,DDR3-1600,2 x 4GB,,,13.75 ns,11.0,2,4,8
AMD Entertainment Edition 16 GB,,,DDR3-1600,2 x 8GB,,,13.75 ns,11.0,2,8,16
Kingston KHX16LS9P1K2/16 16 GB,,,DDR3-1600,2 x 8GB,,Gray / Silver,11.25 ns,9.0,2,8,16
Kingston HyperX 8 GB,,,DDR3-1600,2 x 4GB,,Green / Silver,11.25 ns,9.0,2,4,8
Kingston HyperX T1 8 GB,5.0,,DDR3-2000,2 x 4GB,,Blue,9 ns,9.0,2,4,8
Kingston HyperX Beast 64 GB,,,DDR3-2133,8 x 8GB,,Black,10.314 ns,11.0,8,8,64
Kingston HyperX 8 GB,,,DDR3-2133,2 x 4GB,,Gray / Silver,11.252 ns,12.0,2,4,8
Mushkin Blackline 32 GB,,,DDR3-1600,4 x 8GB,,Black,11.25 ns,9.0,4,8,32
Mushkin Blackline 16 GB,,,DDR3-1600,2 x 8GB,,Black,11.25 ns,9.0,2,8,16
Mushkin Redline 32 GB,,,DDR3-1866,4 x 8GB,,Red,9.646 ns,9.0,4,8,32
G.Skill Ripjaws X 16 GB,,,DDR3-2133,4 x 4GB,,Black / Blue,9.376 ns,10.0,4,4,16
G.Skill Sniper 16 GB,,,DDR3-2133,4 x 4GB,,Black / Red,9.376 ns,10.0,4,4,16
G.Skill Ares 16 GB,5.0,,DDR3-2133,4 x 4GB,,Black / Blue,9.376 ns,10.0,4,4,16
G.Skill Sniper 8 GB,4.5,,DDR3-2133,2 x 4GB,,Black / Red,9.376 ns,10.0,2,4,8
G.Skill Ares 8 GB,4.5,,DDR3-2133,2 x 4GB,,,9.376 ns,10.0,2,4,8
GeIL EVO VELOCE 4 GB,,,DDR3-1333,1 x 4GB,,Red / Silver,13.503 ns,9.0,1,4,4
GeIL EVO VELOCE 16 GB,,,DDR3-2400,2 x 8GB,,Red / Silver,9.167 ns,11.0,2,8,16
G.Skill Ares 16 GB,5.0,,DDR3-2400,4 x 4GB,,Black / Blue,9.167 ns,11.0,4,4,16
Mushkin Stealth 16 GB,,,DDR3-1600,4 x 4GB,,Black / Gold,11.25 ns,9.0,4,4,16
Mushkin Stealth 16 GB,,,DDR3-1600,4 x 4GB,,Black / Gold,11.25 ns,9.0,4,4,16
Kingston HyperX Beast 64 GB,,,DDR3-1866,8 x 8GB,,Black,10.718 ns,10.0,8,8,64
GeIL EVO VELOCE 8 GB,,,DDR3-1333,2 x 4GB,,Red / Silver,13.503 ns,9.0,2,4,8
Mushkin Blackline 16 GB,,,DDR3-1600,2 x 8GB,,Green,11.25 ns,9.0,2,8,16
Mushkin Stealth 8 GB,,,DDR3-1600,2 x 4GB,,Black / Gold,10 ns,8.0,2,4,8
Mushkin Stealth 8 GB,4.0,,DDR3-1600,2 x 4GB,,Black / Gold,11.25 ns,9.0,2,4,8
Mushkin Stealth 8 GB,5.0,,DDR3-1600,2 x 4GB,,Black / Gold,11.25 ns,9.0,2,4,8
Mushkin Stealth 32 GB,5.0,,DDR3-1600,4 x 8GB,,Black / Gold,11.25 ns,9.0,4,8,32
Mushkin Stealth 32 GB,,,DDR3-1600,4 x 8GB,,Black / Gold,11.25 ns,9.0,4,8,32
Mushkin Stealth 16 GB,,,DDR3-1600,4 x 4GB,,Black / Gold,10 ns,8.0,4,4,16
PNY MN8192SD3-1600-X9 8 GB,,,DDR3-1600,1 x 8GB,,Green,11.25 ns,9.0,1,8,8
Mushkin Stealth 12 GB,,,DDR3-1600,3 x 4GB,,Black / Gold,10 ns,8.0,3,4,12
Patriot Viper 3 4 GB,5.0,,DDR3-1600,1 x 4GB,,Black / Blue,11.25 ns,9.0,1,4,4
Mushkin Stealth 16 GB,5.0,,DDR3-1600,2 x 8GB,,Black / Gold,11.25 ns,9.0,2,8,16
Mushkin Stealth 16 GB,,,DDR3-1600,2 x 8GB,,Black / Gold,11.25 ns,9.0,2,8,16
Mushkin Stealth 12 GB,,,DDR3-1600,3 x 4GB,,Black / Gold,11.25 ns,9.0,3,4,12
Mushkin Stealth 12 GB,,,DDR3-1600,3 x 4GB,,Black / Gold,11.25 ns,9.0,3,4,12
Avexir MPower 16 GB,,,DDR3-2133,4 x 4GB,,Black / Yellow,8.439 ns,9.0,4,4,16
Avexir Core 8 GB,4.0,,DDR3-2133,2 x 4GB,,Black / Silver,8.439 ns,9.0,2,4,8
Avexir Core 8 GB,,,DDR3-1866,2 x 4GB,,Black / Silver,9.646 ns,9.0,2,4,8
Avexir Core 8 GB,4.5,,DDR3-1600,2 x 4GB,,Black / Blue,11.25 ns,9.0,2,4,8
Corsair Vengeance Pro 16 GB,4.5,,DDR3-2133,2 x 8GB,,Black / Red,10.314 ns,11.0,2,8,16
Corsair Vengeance Pro 32 GB,5.0,,DDR3-1866,4 x 8GB,,Black / Silver,9.646 ns,9.0,4,8,32
Corsair Vengeance Pro 8 GB,4.5,,DDR3-1600,2 x 4GB,,Black / Blue,11.25 ns,9.0,2,4,8
Corsair Vengeance Pro 8 GB,4.5,,DDR3-2133,2 x 4GB,,Black / Red,10.314 ns,11.0,2,4,8
Corsair Vengeance Pro 8 GB,4.5,,DDR3-2133,2 x 4GB,,Black / Red,8.439 ns,9.0,2,4,8
Kingston KVR16LS11/4 4 GB,,20.98,DDR3-1600,1 x 4GB,5.245,Green,13.75 ns,11.0,1,4,4
Kingston M1G64KL110 8 GB,,,DDR3-1600,1 x 8GB,,Green,13.75 ns,11.0,1,8,8
Kingston M51264KL110S 4 GB,,,DDR3-1600,1 x 4GB,,Green,13.75 ns,11.0,1,4,4
Mushkin Redline 32 GB,,,DDR3-2133,4 x 8GB,,,8.439 ns,9.0,4,8,32
Mushkin Redline 32 GB,,,DDR3-2133,4 x 8GB,,,8.439 ns,9.0,4,8,32
Mushkin Redline 16 GB,,,DDR3-2133,2 x 8GB,,,8.439 ns,9.0,2,8,16
Mushkin Redline 16 GB,,,DDR3-2133,2 x 8GB,,,8.439 ns,9.0,2,8,16
PNY XLR8 16 GB,4.5,,DDR3-1600,2 x 8GB,,,11.25 ns,9.0,2,8,16
PNY MN16384KD3-1600-X9 16 GB,,,DDR3-1600,2 x 8GB,,,11.25 ns,9.0,2,8,16
Patriot Signature Line 2 GB,,,DDR3-1333,1 x 2GB,,Green,13.503 ns,9.0,1,2,2
ADATA XPG\xe2\x84\xa2 Gaming v2.0 8 GB,5.0,,DDR3-2400,2 x 4GB,,,9.167 ns,11.0,2,4,8
Corsair Vengeance Pro 8 GB,4.0,,DDR3-2133,2 x 4GB,,Black / Silver,8.439 ns,9.0,2,4,8
G.Skill Trident X 8 GB,,,DDR3-2800,2 x 4GB,,,8.571 ns,12.0,2,4,8
Crucial Ballistix Sport XT 8 GB,4.5,,DDR3-1600,2 x 4GB,,,11.25 ns,9.0,2,4,8
Crucial Ballistix Sport XT 4 GB,,,DDR3-1600,1 x 4GB,,Black / Silver,11.25 ns,9.0,1,4,4
Crucial Ballistix Sport XT 16 GB,4.5,,DDR3-1600,4 x 4GB,,,11.25 ns,9.0,4,4,16
Crucial Ballistix Sport XT 32 GB,,,DDR3-1600,4 x 8GB,,Blue / Silver,11.25 ns,9.0,4,8,32
Crucial Ballistix Sport XT 32 GB,4.5,,DDR3-1866,4 x 8GB,,,10.718 ns,10.0,4,8,32
G.Skill Trident X 32 GB,,,DDR3-2666,4 x 8GB,,Black / Red,9.002 ns,12.0,4,8,32
Avexir Core 16 GB,,,DDR3-1600,4 x 4GB,,Black / Yellow,11.25 ns,9.0,4,4,16
Mushkin Redline 32 GB,,,DDR3-2400,4 x 8GB,,,8.333 ns,10.0,4,8,32
Mushkin Redline 16 GB,5.0,,DDR3-2400,2 x 8GB,,,8.333 ns,10.0,2,8,16
Avexir SODIMM 8 GB,,,DDR3-1333,1 x 8GB,,Black / Green,13.503 ns,9.0,1,8,8
Avexir Apple Memory 16 GB,,,DDR3-1333,2 x 8GB,,Black / Green,13.503 ns,9.0,2,8,16
Avexir Budget 8 GB,,,DDR3-1333,1 x 8GB,,Black,13.503 ns,9.0,1,8,8
Avexir Core 8 GB,4.5,,DDR3-1600,2 x 4GB,,Black / White,11.25 ns,9.0,2,4,8
Avexir MPower 8 GB,,,DDR3-1600,2 x 4GB,,Black / Yellow,11.25 ns,9.0,2,4,8
Avexir Standard 8 GB,,,DDR3-1600,2 x 4GB,,Black / Silver,11.25 ns,9.0,2,4,8
Avexir Core 16 GB,5.0,,DDR3-1600,4 x 4GB,,Black / Blue,11.25 ns,9.0,4,4,16
Avexir Core 16 GB,,,DDR3-1600,4 x 4GB,,Black / Red,11.25 ns,9.0,4,4,16
Avexir MPower 16 GB,,,DDR3-1600,4 x 4GB,,Black / Yellow,11.25 ns,9.0,4,4,16
G.Skill Trident X 16 GB,,,DDR3-2800,2 x 8GB,,Black / Red,8.571 ns,12.0,2,8,16
