,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
1648,Integral V Series Plus,,34.57,512 GB,0.068,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1649,ADATA Premium For PS5,,132.99,2 TB,0.066,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1650,Verbatim Vi7000G,,Out of stock$135.48,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1651,Lexar Professional NM800PRO,,93.95,1 TB,0.094,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1652,Seagate Exos X24,,486.19,20 TB,0.024,7200 RPM,512 MB,"3.5""",SAS 12.0 Gb/s,20000.0
1653,Western Digital RE,,71.37,2 TB,0.036,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,2000.0
1654,Integral V Series 2,,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
1655,Orico Y-20,,209.99,4 TB,0.052,SSD,,"2.5""",SATA 6.0 Gb/s,4000.0
1656,Western Digital Green,5.0,117.00,480 GB,0.244,SSD,,M.2-2280,M.2 SATA,480.0
1657,Inland Gaming Performance Plus,,94.99,1 TB,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1658,Orico O7000,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0
1659,Intel DC P4510,,,8 TB,,SSD,,"2.5""",U.2,8000.0
1660,Seagate Enterprise Capacity,,113.19,4 TB,0.028,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1661,Seagate IronWolf Pro,,264.00,8 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
1662,Seagate FireCuda 530 w/Heatsink,,173.99,1 TB,0.174,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1663,Lexar Professional NM800PRO,,68.98,512 GB,0.135,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0
1664,HP FX700,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1665,Hitachi Travelstar Z5K500,3.5,150.00,500 GB,0.300,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,500.0
1666,Intel 520,4.5,270.00,120 GB,2.250,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1667,Seagate ST980813AS,,26.24,80 GB,0.328,7200 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,80.0
1668,Seagate Enterprise Capacity,,225.34,6 TB,0.038,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,6000.0
1669,Toshiba MG08ADA400E,5.0,174.99,4 TB,0.044,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1670,Western Digital WD1001FALS,4.0,,500 GB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,500.0
1671,Western Digital Scorpio Blue,3.0,26.79,80 GB,0.335,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,80.0
1672,Kingston HyperX 3K,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1673,Western Digital Black,4.5,196.04,4 TB,0.049,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1674,Intel DC S3700,3.0,,100 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,100.0
1675,SanDisk X400,4.0,,128 GB,,SSD,,M.2-2280,M.2 SATA,128.0
1676,HP S700,5.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1677,Crucial P5,5.0,,250 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,250.0
1678,TEAMGROUP T-Force Cardea Zero Z330,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
1679,KingSpec P3,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1680,Inland Prime,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1681,Netac NV7000,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1682,Netac NV2000,,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1683,Lexar NM700,,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1684,Toshiba MD07ACA,,,14 GB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14.0
1685,Verbatim Vi7000G,,105.49,1 TB,0.105,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1686,Lenovo OPAL2,,373.00,512 GB,0.729,SSD,,M.2-2280,M.2 PCIe 4.0 X4,512.0
1687,KIOXIA BG4,,28.00,256 GB,0.109,SSD,,M.2-2230,M.2 PCIe 3.0 X4,256.0
1688,Micron 2400,,59.12,512 GB,0.115,SSD,,M.2-2230,M.2 PCIe 4.0 X4,512.0
1689,Seagate SkyHawk AI,,541.61,18 TB,0.030,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,18000.0
1690,Toshiba N300 Pro,,304.99,14 TB,0.022,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,14000.0
1691,Micron 9300 Pro,,962.00,7.68 TB,0.125,SSD,,"2.5""",U.2,7680.0
1692,Samsung Spinpoint M8,4.0,49.00,1 TB,0.049,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,1000.0
1693,Transcend 250S,,184.99,2 TB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1694,Inland Platinum,,34.99,512 GB,0.068,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1695,Toshiba MG08ADA800E,5.0,229.99,8 TB,0.029,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
1696,Western Digital Red Pro,4.5,311.49,8 TB,0.039,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
1697,Western Digital Red Pro,,299.99,12 TB,0.025,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,12000.0
1698,Leven JS600,5.0,29.99,512 GB,0.059,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1699,Toshiba X300 Pro,,322.66,16 TB,0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,16000.0
1700,Sabrent Rocket Q4,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1701,Corsair CSSD-F4000GBMP600PHX,,379.99,4 TB,0.095,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1702,Corsair MP600 PRO,,409.99,4 TB,0.102,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1703,Klevv CRAS C925,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1704,Integral V Series 2,,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1705,Kingston SSDNow V100,,,128 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,128.0
1706,Western Digital Raptor,,,150 GB,,10000 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,150.0
1707,Crucial M500,4.5,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
1708,Hitachi Deskstar 7K4000,5.0,,4 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1709,Crucial M550,5.0,,512 GB,,SSD,,M.2-2280,M.2 SATA,512.0
1710,Seagate Surveillance HDD,,,6 TB,,5400 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,6000.0
1711,Seagate Momentus,3.0,,1 TB,,5400 RPM,8 MB,"2.5""",SATA 6.0 Gb/s,1000.0
1712,PNY CS1311,4.5,42.99,120 GB,0.358,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1713,Hitachi HDS723020BLA642,,,2 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
1714,Toshiba OCZ TR200,4.5,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1715,Intel 545s,4.5,169.00,256 GB,0.660,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1716,Intel 760p,5.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1717,Western Digital Black NVMe,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1718,Crucial MX500,4.0,,250 GB,,SSD,,M.2-2280,M.2 SATA,250.0
1719,Kingston A1000,5.0,,960 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,960.0
1720,Patriot Burst,5.0,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1721,Intel Optane 905P,,,960 GB,,SSD,,PCIe,PCIe x4,960.0
1722,Seagate Barracuda Compute,,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
1723,Crucial BX500,4.0,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
1724,Inland Professional,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,1000.0
1725,TEAMGROUP GX1,4.0,42.99,240 GB,0.179,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
1726,Transcend 110S,,51.65,512 GB,0.101,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1727,Seagate BarraCuda 120,5.0,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,250.0
1728,Western Digital Red Pro,5.0,420.00,14 TB,0.030,7200 RPM,,"3.5""",SATA 6.0 Gb/s,14000.0
1729,MSI SPATIUM M480,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1730,PNY XLR8 CS3140 w/Heatsink,,Out of stock$190.48,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1731,PNY CS900,,,8 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,8000.0
1732,Inland QN322,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1733,Mushkin Source HC,,,8 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,8000.0
1734,Seagate Beskar Ingot Drive Special Edition FireCuda,4.5,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
1735,Netac NV5000,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
1736,Western Digital PC SN740 Opal,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,256.0
1737,Patriot Viper VP4300 Lite,,,500 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,500.0
1738,Seagate Exos X18,,459.78,14 TB,0.033,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
1739,TEAMGROUP T-Force GE PRO AirFlow,,,8 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,8000.0
1740,TEAMGROUP MP44S,,72.98,1 TB,0.073,SSD,,M.2-2230,M.2 PCIe 4.0 X4,1000.0
1741,KingSpec XG7000,,43.99,512 GB,0.086,SSD,,M.2-2242,M.2 PCIe 4.0 X4,512.0
1742,Seagate SkyHawk AI,,319.45,16 TB,0.020,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,16000.0
1743,Integral MO-300,,30.95,256 GB,0.121,SSD,,mSATA,mSATA,256.0
1744,Patriot P300,5.0,105.30,1 TB,0.105,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1745,Seagate Exos 7E10 512e/4Kn,,245.99,6 TB,0.041,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,6000.0
1746,Integral Edge Gen5 w/ Heatsink,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
1747,Toshiba N300,,158.91,4 TB,0.040,7200 RPM,,"3.5""",SATA 6.0 Gb/s,4000.0
1748,Western Digital WD Blue,,Out of stock$236.98,2 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
1749,Nextorage NEM-PAB,,319.99,4 TB,0.080,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1750,Micron 7400 PRO,,Out of stock$349.99,1.92 TB,,SSD,,M.2-22110,M.2 PCIe 4.0 X4,1920.0
1751,Verbatim Vi3000,,Out of stock$27.99,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
1752,Nextorage G-Series LE,,139.99,2 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1753,Western Digital Scorpio Black,4.0,42.00,320 GB,0.131,7200 RPM,16 MB,"2.5""",SATA 3.0 Gb/s,320.0
1754,Hitachi Deskstar NAS,4.5,159.03,4 TB,0.040,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1755,Seagate BarraCuda Pro,5.0,185.00,6 TB,0.031,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,6000.0
1756,Seagate EXOS Enterprise,4.0,Out of stock$389.99,14 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
1757,Western Digital Black SN750 SE,5.0,,250 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,250.0
1758,Mushkin Tempest,,41.99,512 GB,0.082,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1759,Netac NV5000,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1760,Transcend MTE245S,,125.90,2 TB,0.063,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1761,Western Digital Blue,4.5,71.98,250 GB,0.288,SSD,,"2.5""",SATA 6.0 Gb/s,250.0
1762,Micron 1100,4.5,279.00,2 TB,0.139,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
1763,ADATA Ultimate SU650,,200.00,960 GB,0.208,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
1764,Toshiba P300,,,1 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
1765,Samsung PM883,,96.00,480 GB,0.200,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1766,Transcend 830S,,Out of stock$339.99,4 TB,,SSD,,M.2-2280,M.2 SATA,4000.0
1767,Western Digital VelociRaptor,,,450 GB,,10000 RPM,32 MB,"3.5""",SATA 6.0 Gb/s,450.0
1768,Crucial M4,4.5,,64 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,64.0
1769,Crucial M4,4.5,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1770,Western Digital SiliconEdge Blue,,,256 GB,,SSD,,"2.5""",SATA 3.0 Gb/s,256.0
1771,Hitachi Travelstar Z5K500,2.0,,320 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,320.0
1772,Samsung 830,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1773,Kingston HyperX 3K,4.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
1774,Crucial M500,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1775,Kingston SSDNow V300,4.0,285.62,480 GB,0.595,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1776,Seagate STCL4000400 Retail Kit,5.0,,4 TB,,Hybrid,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1777,Western Digital Red Pro,4.0,127.00,2 TB,0.064,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,2000.0
1778,Western Digital Red Pro,5.0,,3 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,3000.0
1779,Samsung Spinpoint M8,4.0,,500 GB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,500.0
1780,Samsung 850 Evo,5.0,,120 GB,,SSD,,M.2-2280,M.2 SATA,120.0
1781,Kingston Savage,5.0,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
1782,SanDisk X400,5.0,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1783,Crucial MX300,4.5,,275 GB,,SSD,,M.2-2280,M.2 SATA,275.0
1784,Seagate BarraCuda Pro,5.0,,2 TB,,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,2000.0
1785,Seagate Barracuda ES,3.0,86.45,750 GB,0.115,7200 RPM,16 MB,"3.5""",SATA 6.0 Gb/s,750.0
1786,ADATA XPG SX6000,4.5,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X2,128.0
1787,TEAMGROUP L5 LITE 3D,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1788,Micron 1100,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1789,TEAMGROUP T-Force Delta RGB,,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1790,Kingston KC2000,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1791,Intel Pro 7600p,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1792,SK Hynix Gold S31 250,4.0,,250 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,250.0
1793,Silicon Power Ace A56,,,512 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1794,TEAMGROUP MP33,4.5,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0
1795,Inland Premium,4.5,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
1796,ADATA SU760,4.0,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1797,Intel 665p,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
1798,Corsair MP510,4.5,,960 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,960.0
1799,Samsung PM871b,5.0,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1800,ADATA Falcon,,85.34,512 GB,0.167,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1801,Sabrent Rocket Q4,4.5,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1802,Seagate BarraCuda Q1,5.0,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
1803,TEAMGROUP T-Force Cardea Z44Q,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1804,Patriot Viper VPN110,5.0,,512 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,512.0
1805,Lexar NM700,,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1806,KIOXIA BG5,5.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,256.0
1807,Lenovo S4520,,,7.68 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,7680.0
1808,GameStop 23VG-GSPL-GameStop NVMe SSD-Heatsink-1TB,,109.99,1 TB,0.110,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1809,Hitachi Deskstar 7K1000.C,,,1 TB,,7200 RPM,,"3.5""",SATA 6.0 Gb/s,1000.0
1810,Corsair MP600 MINI,,159.99,2 TB,0.080,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2000.0
1811,Silicon Power UD90,,139.99,2 TB,0.070,SSD,,M.2-2230,M.2 PCIe 4.0 X4,2000.0
1812,Intel DC P4510,,235.00,2 TB,0.117,SSD,,"2.5""",U.2,2000.0
1813,Addlink A93 PS5,,122.44,2 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1814,TEAMGROUP CX1,,32.99,480 GB,0.069,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1815,Western Digital Purple Pro,,255.48,8 TB,0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
1816,Addlink S20,,58.44,1 TB,0.058,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1817,Intel 730,4.5,549.99,480 GB,1.146,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1818,Mushkin Reactor,4.5,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1819,ADATA Legend 850,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1820,TEAMGROUP T-Force Cardea Z44L,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1821,Western Digital RE3,4.0,24.99,250 GB,0.100,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,250.0
1822,Samsung Spinpoint F1 DT,4.0,,1 TB,,7200 RPM,32 MB,"3.5""",SATA 3.0 Gb/s,1000.0
1823,Samsung Spinpoint M8,4.5,,1 TB,,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,1000.0
1824,Transcend SSD230S,,49.80,512 GB,0.097,SSD,,"2.5""",SATA 6.0 Gb/s,512.0
1825,Silicon Power A80,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
1826,Kingston A400,4.0,,480 GB,,SSD,,M.2-2280,M.2 SATA,480.0
1827,KIOXIA EXCERIA,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1828,Seagate Lightsaber Collection FireCuda,5.0,Out of stock$139.99,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1829,Western Digital Caviar Black,4.0,,2 TB,,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,2000.0
1830,Hitachi 7K1000.B,3.5,,1 TB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,1000.0
1831,Seagate BarraCuda,4.5,,1 TB,,7200 RPM,64 MB,"3.5""",SATA 3.0 Gb/s,1000.0
1832,Seagate Barracuda 7200.12,3.0,,500 GB,,7200 RPM,16 MB,"3.5""",SATA 3.0 Gb/s,500.0
1833,Intel X25-M,,359.90,120 GB,2.999,SSD,,"2.5""",SATA 3.0 Gb/s,120.0
1834,OCZ Vertex 4,4.0,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1835,OCZ Vertex 4,4.5,,128 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,128.0
1836,Samsung 840,4.5,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1837,Samsung 840,4.5,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
1838,SanDisk Ultra Plus,4.5,,256 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,256.0
1839,Crucial MX200,4.5,297.49,500 GB,0.595,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
1840,Zotac ZTSSD-A4P-120G,3.0,,120 GB,,SSD,32 MB,"2.5""",SATA 6.0 Gb/s,120.0
1841,SanDisk X400,4.5,229.99,512 GB,0.449,SSD,,M.2-2280,M.2 SATA,512.0
1842,Intel 600p,4.0,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0
1843,Samsung PM961,3.0,,128 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,128.0
1844,Crucial MX300,4.5,,1.05 TB,,SSD,,M.2-2280,M.2 SATA,1050.0
1845,Transcend TS240GSSD220S,4.5,33.95,240 GB,0.141,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
1846,Toshiba MD04ACA400,5.0,,4 TB,,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,4000.0
1847,XPG GAMMIX S10,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1848,Samsung MZ1LV960HCJH,5.0,,960 GB,,SSD,,M.2-22110,M.2 PCIe 3.0 X4,960.0
1849,Gigabyte UD PRO 256,5.0,,256 GB,,SSD,256 MB,"2.5""",SATA 6.0 Gb/s,256.0
1850,ADATA SU635,4.5,,960 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,960.0
1851,Sabrent Rocket 4.0 HTSK,4.5,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1852,Intel 660p,4.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1853,Seagate Barracuda Compute,5.0,,500 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,500.0
1854,ADATA XPG SX8100,5.0,499.99,4 TB,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4,4000.0
1855,Apacer AS340 PANTHER,,,120 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,120.0
1856,Apacer AS340 PANTHER,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
1857,TEAMGROUP T-Create Classic,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
1858,Inland Platinum,5.0,,2 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
1859,Leven JS600,2.0,,2 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,2000.0
1860,Patriot Viper VPR400 RGB,5.0,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1861,Toshiba S300,,79.90,1 TB,0.080,5700 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,1000.0
1862,Seagate IronWolf NAS,,,18 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,18000.0
1863,HP S750,,,1 TB,,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
1864,Timetec 35TTFP6PCIE,,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
1865,Toshiba XG6,5.0,,256 GB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
1866,Seagate IronWolf NAS,,104.94,3 TB,0.035,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,3000.0
1867,MSI SPATIUM M460,,,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1868,Timetec 35TTTNGE4NVME-1TB,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1869,Hitachi Ultrastar DC HC530,,,14 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,14000.0
1870,Acer FA200,,,4 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,4000.0
1871,Seagate BarraCuda 530,,,2.048 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2048.0
1872,Seagate Exos X24 SED-FIPS,,,24 TB,,7200 RPM,512 MB,"3.5""",SAS 12.0 Gb/s,24000.0
1873,Western Digital WD Green,,24.99,240 GB,0.104,SSD,,M.2-2280,M.2 SATA,240.0
1874,Western Digital WD Green,,39.99,480 GB,0.083,SSD,,M.2-2280,M.2 SATA,480.0
1875,Toshiba MQ04ABD200,,74.99,2 TB,0.037,5400 RPM,128 MB,"2.5""",SATA 6.0 Gb/s,2000.0
1876,Western Digital Purple Pro,,449.99,22 TB,0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,22000.0
1877,Transcend MTS800,,50.77,32 GB,1.587,SSD,,M.2-2280,M.2 SATA,32.0
1878,Western Digital BLACK SN850 Call of Duty Edition,,217.00,1 TB,0.217,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
1879,SanDisk SSD PLUS,4.5,,240 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,240.0
1880,Western Digital RE,,145.00,5 TB,0.029,7200 RPM,128 MB,"3.5""",SATA 6.0 Gb/s,5000.0
1881,PNY CS2140,,Out of stock$121.99,2 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
1882,Toshiba N300 Pro,,277.67,12 TB,0.023,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,12000.0
1883,Toshiba X300,,,12 TB,,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,12000.0
1884,Western Digital Red SA500,5.0,107.93,1 TB,0.108,SSD,,M.2-2280,M.2 SATA,1000.0
1885,Integral V Series 2,,,480 GB,,SSD,,"2.5""",SATA 6.0 Gb/s,480.0
