,title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,capacity_gb
68,Samsung 990 Pro w/Heatsink,5.0,312.99,4 TB,0.078,SSD,4096 MB,M.2-2280,M.2 PCIe 4.0 X4,4000.0
69,Western Digital Blue,4.5,64.98,2 TB,0.032,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,2000.0
70,Crucial P310,,74.99,1 TB,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
71,Patriot P300,4.5,23.79,256 GB,0.093,SSD,,M.2-2280,M.2 PCIe 3.0 X4,256.0
72,Crucial BX500,4.5,61.74,1 TB,0.062,SSD,,"2.5""",SATA 6.0 Gb/s,1000.0
73,Lexar NM790,5.0,69.99,1 TB,0.070,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
74,Corsair MP700 Elite,5.0,179.99,2 TB,0.090,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
75,Silicon Power A60,5.0,99.97,2 TB,0.050,SSD,,M.2-2280,M.2 PCIe 3.0 X4,2000.0
76,Crucial T700,4.5,219.99,2 TB,0.110,SSD,,M.2-2280,M.2 PCIe 5.0 X4,2000.0
77,Toshiba MK3276GSX,1.5,32.02,320 GB,0.100,5400 RPM,8 MB,"2.5""",SATA 3.0 Gb/s,320.0
78,Seagate IronWolf NAS,5.0,179.99,8 TB,0.022,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,8000.0
79,Samsung 990 Pro w/Heatsink,4.5,179.99,2 TB,0.090,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2000.0
80,TEAMGROUP MP33 PRO,4.0,63.99,1 TB,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4,1000.0
81,Acer Predator GM7000,5.0,73.98,1 TB,0.074,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4,1000.0
82,KingSpec XF,,95.99,2 TB,0.048,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
83,TEAMGROUP T-FORCE G50,5.0,102.99,2 TB,0.051,SSD,,M.2-2280,M.2 PCIe 4.0 X4,2000.0
84,Kingston Fury Renegade,5.0,89.86,1 TB,0.090,SSD,,M.2-2280,M.2 PCIe 4.0 X4,1000.0
85,Samsung 9100 PRO w/Heatsink,,516.95,4 TB,0.129,SSD,4096 MB,M.2-2280,M.2 PCIe 5.0 X4,4000.0
