title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface,cache_gb,capacity_gb
Verbatim Vi5000,5.0,120.56,2 TB,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,2000.0
MSI SPATIUM M371,4.5,49.99,1 TB,,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
TEAMGROUP MP44Q,5.0,56.99,1 TB,0.057,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Crucial P310,5.0,45.98,500 GB,0.092,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,500.0
PNY CS900,4.5,33.99,500 GB,0.068,SSD,,"2.5""",SATA 6.0 Gb/s,,500.0
Integral M3 Series Plus,,,1 TB,,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
KingSpec XG7000,5.0,60.99,1 TB,0.061,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,1000.0
Western Digital WD_BLACK,,199.99,10 TB,0.02,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,10000.0
Patriot P310,,52.99,960 GB,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,960.0
ADATA LEGEND 700,5.0,54.89,1 TB,0.055,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Sabrent Rocket Q,4.5,124.99,1 TB,0.125,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Western Digital Purple Pro,,515.0,24 TB,0.021,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s,0.512,24000.0
Corsair MP700 PRO,5.0,139.99,1 TB,0.14,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,1000.0
Western Digital Red Plus,5.0,239.99,12 TB,0.02,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,12000.0
FanXiang S500 Pro,5.0,62.98,1 TB,0.063,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
Western Digital Black SN770,5.0,39.99,250 GB,0.16,SSD,,M.2-2280,M.2 PCIe 4.0 X4,,250.0
Seagate Exos X18,,249.99,14 TB,0.018,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s,0.256,14000.0
MSI SPATIUM M480 PRO,5.0,279.99,4 TB,0.07,SSD,2048 MB,M.2-2280,M.2 PCIe 4.0 X4,2.048,4000.0
PNY CS1030,,102.99,2 TB,0.051,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,2000.0
Corsair MP700 PRO,,449.99,4 TB,0.112,SSD,,M.2-2280,M.2 PCIe 5.0 X4,,4000.0
Western Digital WD_BLACK,4.5,89.99,2 TB,0.045,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s,0.064,2000.0
PNY CS2230,,57.99,1 TB,0.058,SSD,,M.2-2280,M.2 PCIe 3.0 X4,,1000.0
TEAMGROUP MS30,4.5,30.99,512 GB,0.061,SSD,,M.2-2280,M.2 SATA,,512.0
