title,rating,price,capacity,price_per_gb,type,cache,form_factor,interface
Samsung 970 Evo,4.5,$159.00,1 TB,$0.159,SSD,1024 MB,M.2-2280,M.2 PCIe 3.0 X4
KingSpec XG7000,5.0,$101.99,2 TB,$0.051,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial T705,4.5,$142.99,1 TB,$0.143,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital Green SN350,4.5,$62.99,1 TB,$0.063,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Platinum P41,4.5,$77.98,1 TB,$0.078,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot P400 Lite,5.0,$104.99,2 TB,$0.052,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM710,4.5,$88.74,1 TB,$0.089,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 980,4.5,$66.80,500 GB,$0.134,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power P34A60,4.5,$37.99,512 GB,$0.074,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Crucial MX500,4.5,$92.90,1 TB,$0.093,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s
Patriot P300,5.0,$54.99,1 TB,$0.055,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 9100 PRO,None,None,8 TB,None,SSD,8192 MB,M.2-2280,M.2 PCIe 5.0 X4
Orico Y-20,None,$11.99,128 GB,$0.094,SSD,None,"2.5""",SATA 6.0 Gb/s
Samsung 860 Evo,4.5,$125.00,1 TB,$0.125,SSD,1024 MB,"2.5""",SATA 6.0 Gb/s
Kingston A400,4.5,$39.99,480 GB,$0.083,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston NV2,4.0,$126.70,2 TB,$0.063,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,4.5,$39.78,500 GB,$0.080,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO,5.0,$219.99,2 TB,$0.110,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Lexar NM790,4.5,$249.99,4 TB,$0.062,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial T500,4.5,$84.54,1 TB,$0.085,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Intel Optane 905P,5.0,$4500.00,1.5 TB,$3.000,SSD,None,"2.5""",U.2
TEAMGROUP MP44L,4.5,$34.99,500 GB,$0.070,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate SuperSpeed HDD,4.5,None,1 TB,None,Hybrid,64 MB,"2.5""",SATA 6.0 Gb/s
Kingston NV3,4.5,$42.98,500 GB,$0.086,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Blue SN580,None,$41.76,500 GB,$0.084,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Crucial P3,4.5,$127.48,2 TB,$0.064,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Timetec 35TTFP6PCIE,4.0,$53.99,1 TB,$0.054,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Patriot P400 Lite,5.0,$55.99,1 TB,$0.056,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,4.5,$66.47,2 TB,$0.033,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Crucial BX500,4.0,$109.99,2 TB,$0.055,SSD,None,"2.5""",SATA 6.0 Gb/s
Seagate Exos X24,None,$479.99,24 TB,$0.020,7200 RPM,512 MB,"3.5""",SATA 6.0 Gb/s
Sabrent Rocket 5,None,$711.32,4 TB,$0.178,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
KingSpec XG7000,5.0,$195.99,4 TB,$0.049,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Mushkin Source HC,None,None,16 TB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
TEAMGROUP MP33,4.5,$106.99,2 TB,$0.053,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Red Plus,None,$99.99,4 TB,$0.025,5400 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Corsair MP700 Elite,5.0,$109.99,1 TB,$0.110,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Western Digital WD_Black SN850X w/Heatsink,None,$629.99,8 TB,$0.079,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Kingston A400,4.5,$59.99,960 GB,$0.062,SSD,None,"2.5""",SATA 6.0 Gb/s
Kingston NV2,4.5,None,500 GB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,4.0,$57.99,1 TB,$0.058,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Western Digital WD Blue SN5000,None,$62.99,1 TB,$0.063,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP600 PRO XT,5.0,$909.99,8 TB,$0.114,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Seagate BarraCuda,4.5,$39.99,1 TB,$0.040,7200 RPM,64 MB,"3.5""",SATA 6.0 Gb/s
Seagate IronWolf Pro,4.5,$168.25,4 TB,$0.042,7200 RPM,256 MB,"3.5""",SATA 6.0 Gb/s
Kingston Fury Renegade,5.0,$306.00,4 TB,$0.076,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot Viper VP4300 Lite,4.0,$114.99,2 TB,$0.057,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
KIOXIA EXCERIA PLUS G3,5.0,None,1 TB,None,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 850 Evo,4.5,None,250 GB,None,SSD,None,"2.5""",SATA 6.0 Gb/s
Crucial T700,4.5,$139.99,1 TB,$0.140,SSD,None,M.2-2280,M.2 PCIe 5.0 X4
Crucial P5 Plus,4.5,$147.99,1 TB,$0.148,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
PNY CS900,4.5,$54.99,1 TB,$0.055,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital WD Green SN3000,None,$119.99,2 TB,$0.060,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3608,None,None,4 TB,None,SSD,None,PCIe,PCIe x8
Western Digital WD_BLACK SN7100,None,$139.99,2 TB,$0.070,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
ADATA Legend 800,4.0,$66.98,1 TB,$0.067,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Patriot Burst Elite,None,$12.99,120 GB,$0.108,SSD,None,"2.5""",SATA 6.0 Gb/s
Western Digital WD Green SN3000,5.0,$67.99,1 TB,$0.068,SSD,None,M.2-2280,M.2 PCIe 4.0 X4
Samsung 970 Evo Plus,4.5,$74.98,250 GB,$0.300,SSD,512 MB,M.2-2280,M.2 PCIe 3.0 X4
Lexar NM620,4.5,$149.00,2 TB,$0.074,SSD,None,M.2-2280,M.2 PCIe 3.0 X4
Samsung 990 Pro w/Heatsink,5.0,$109.43,1 TB,$0.109,SSD,1024 MB,M.2-2280,M.2 PCIe 4.0 X4
